2B (Nose Pokes),,,,,,2G (deltaF/F),,,,,,,,,,,,,,,,,,,,2H (deltaF/F),,,,,,,,,,,,,,,,,,
,RR20,,RI120,,,,NP+,,,,,,,,,NP-,,,,,,,,,,,ME+,,,,,,,,,ME-,,,,,,,,
ID,Valued,Devalued,Valued,Devalued,,,RI120,,,,RR20,,,,,RI120,,,,RR20,,,,,,,RI120,,,,RR20,,,,,RI120,,,,RR20,,,,
1,61,25,45,31,,Time|ID,1,2,3,4,1,2,3,4,5,1,2,3,4,1,2,3,4,5,,Time|ID,1,2,3,4,1,2,3,4,5,1,2,3,4,1,2,3,4,5
2,65,11,65,45,,-2,0,0.525,0.372727273,0.54,0.435789,0.471111,0.561667,0.342951,0.523571,0.788235,0.671429,0.480357,0.468421,0.691743,0.444853,0.57,0.447706,0.531855,,-2,0.654167,0.291667,0.136364,0.75,-0.01053,0.386667,0.058333,0.403279,0.571429,0.563636,0.564198,0.249367,0.197436,0.208,0.719048,0.467949,0.426154,0.445614
3,94,15,11,12,,-1.96667,0,0.533333333,0.354545455,0.54,0.441053,0.457778,0.545,0.354426,0.523571,0.8,0.660714,0.473214,0.447368,0.686239,0.436029,0.568462,0.435321,0.533871,,-1.96667,0.6625,0.275,0.127273,0.72,0.031579,0.371111,0.0625,0.413115,0.567857,0.554545,0.549383,0.246835,0.2,0.194667,0.738095,0.45641,0.421538,0.44386
4,75,19,9,15,,-1.93333,0,0.508333333,0.336363636,0.58,0.435789,0.446667,0.524167,0.37082,0.525357,0.835294,0.664286,0.464286,0.447368,0.675229,0.435294,0.565385,0.424771,0.539113,,-1.93333,0.679167,0.283333,0.127273,0.68,0.052632,0.382222,0.066667,0.414754,0.566071,0.545455,0.545679,0.251899,0.189744,0.184,0.733333,0.45641,0.418462,0.435088
5,122,28,98,74,,-1.9,0,0.541666667,0.354545455,0.59,0.441053,0.453333,0.536667,0.385574,0.527143,0.852941,0.65,0.469643,0.431579,0.674312,0.430147,0.563846,0.416972,0.539516,,-1.9,0.720833,0.266667,0.109091,0.62,0.094737,0.373333,0.075,0.419672,0.560714,0.545455,0.549383,0.243038,0.198718,0.18,0.742857,0.471795,0.42,0.419298
6,100,30,,,,-1.86667,0,0.533333333,0.354545455,0.61,0.425263,0.451111,0.536667,0.39541,0.543214,0.852941,0.660714,0.455357,0.4,0.657798,0.429412,0.562308,0.398624,0.540726,,-1.86667,0.75,0.283333,0.1,0.57,0.110526,0.366667,0.075,0.42623,0.548214,0.527273,0.548148,0.241772,0.185897,0.16,0.742857,0.465385,0.407692,0.414035
,,,,,,-1.83333,0.066666667,0.533333333,0.345454545,0.64,0.42,0.444444,0.536667,0.408525,0.548571,0.876471,0.646429,0.453571,0.4,0.650459,0.426471,0.55,0.389908,0.545565,,-1.83333,0.754167,0.275,0.118182,0.49,0.1,0.348889,0.091667,0.421311,0.535714,0.509091,0.52716,0.234177,0.189744,0.158667,0.757143,0.474359,0.416923,0.4
,,,,,,-1.8,0,0.575,0.354545455,0.64,0.425263,0.435556,0.536667,0.418361,0.555714,0.852941,0.625,0.4375,0.389474,0.636697,0.438235,0.546923,0.383945,0.546371,,-1.8,0.766667,0.3,0.090909,0.45,0.121053,0.337778,0.079167,0.422951,0.525,0.527273,0.522222,0.246835,0.196154,0.145333,0.757143,0.474359,0.416923,0.382456
,,,,,,-1.76667,0.033333333,0.575,0.390909091,0.66,0.425263,0.424444,0.490833,0.426557,0.571786,0.9,0.639286,0.421429,0.389474,0.627523,0.441912,0.542308,0.387156,0.552419,,-1.76667,0.7625,0.308333,0.072727,0.45,0.136842,0.322222,0.0875,0.404918,0.507143,0.472727,0.522222,0.239241,0.20641,0.14,0.780952,0.474359,0.418462,0.378947
